EID,Set_Name,Node1_Z
328,South_Vs10-Min1,-1.3837699890136719
329,South_Vs10-Min1,-1.7297124862670898
330,South_Vs10-Min1,-2.075654983520508
331,South_Vs10-Min1,-2.421597480773926
332,South_Vs10-Min1,-2.7675399780273438
333,South_Vs10-Min1,-3.1134824752807617
334,South_Vs10-Min1,-3.4594249725341797
335,South_Vs10-Min1,-3.8053674697875977
336,South_Vs10-Min1,-4.151309967041016
337,South_Vs10-Min1,-4.497252464294434
338,South_Vs10-Min1,-4.843194961547852
339,South_Vs10-Min1,-5.1891374588012695
340,South_Vs10-Min1,-5.5350799560546875
341,South_Vs10-Min1,-5.8810224533081055
342,South_Vs10-Min1,-6.226964950561523
343,South_Vs10-Min1,-6.572907447814941
344,South_Vs10-Min1,-6.918849945068359
345,South_Vs10-Min1,-7.264792442321777
346,South_Vs10-Min1,-7.610734939575195
347,South_Vs10-Min1,-7.956677436828613
348,South_Vs10-Min1,-8.302619934082031
349,South_Vs10-Min1,-8.64856243133545
350,South_Vs10-Min1,-8.994504928588867
351,South_Vs10-Min1,-9.340447425842285
352,South_Vs10-Min1,-9.686389923095703
353,South_Vs10-Min1,-10.032332420349121
354,South_Vs10-Min1,-10.378274917602539
355,South_Vs10-Min1,-10.724217414855957
356,South_Vs10-Min1,-11.070159912109375
357,South_Vs10-Min1,-11.416102409362793
358,South_Vs10-Min1,-11.762044906616211
359,South_Vs10-Min1,-12.107987403869629
360,South_Vs10-Min1,-12.453929901123047
361,South_Vs10-Min1,-12.799872398376465
362,South_Vs10-Min1,-13.145814895629883
363,South_Vs10-Min1,-13.4917573928833
364,South_Vs10-Min1,-13.837699890136719
365,South_Vs10-Min1,-14.183642387390137
366,South_Vs10-Min1,-14.645197868347168
367,South_Vs10-Min1,-15.106752395629883
368,South_Vs10-Min1,-15.568307876586914
369,South_Vs10-Min1,-16.029863357543945
370,South_Vs10-Min1,-16.491418838500977
371,South_Vs10-Min1,-16.952974319458008
372,South_Vs10-Min1,-17.414527893066406
373,South_Vs10-Min1,-17.876083374023438
374,South_Vs10-Min1,-18.33763885498047
375,South_Vs10-Min1,-18.7991943359375
376,South_Vs10-Min1,-19.26074981689453
377,South_Vs10-Min1,-19.722305297851562
378,South_Vs10-Min1,-20.183860778808594
379,South_Vs10-Min1,-20.645414352416992
380,South_Vs10-Min1,-21.106969833374023
381,South_Vs10-Min1,-21.568525314331055
382,South_Vs10-Min1,-22.030080795288086
383,South_Vs10-Min1,-22.491636276245117
384,South_Vs10-Min1,-22.95319175720215
385,South_Vs10-Min1,-23.414745330810547
386,South_Vs10-Min1,-23.876300811767578
387,South_Vs10-Min1,-24.33785629272461
388,South_Vs10-Min1,-24.79941177368164
389,South_Vs10-Min1,-25.260967254638672
390,South_Vs10-Min1,-25.722522735595703
391,South_Vs10-Min1,-26.184078216552734
392,South_Vs10-Min1,-26.645631790161133
393,South_Vs10-Min1,-27.107187271118164
394,South_Vs10-Min1,-27.568742752075195
